,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Будни после праздника
1,.,2,Евгений Кукаркин,Будни после праздника
2,.,3,Евгений Кукаркин,Будни после праздника
3,"Вчера был праздник Святого Валентина, попечителя всех влюбленных, а так.",4,Евгений Кукаркин,Будни после праздника
4,"же хранителя  надежд, во всех тюрьмах, лагерях и закрытых сумасшедших домов,.",5,Евгений Кукаркин,Будни после праздника
5,"тех кого охраняют и тех,  кто  охраняет.",6,Евгений Кукаркин,Будни после праздника
6,"Это  праздник  для  надсмотрщиков,.",7,Евгений Кукаркин,Будни после праздника
7,"надзирателей,  обитателей камер и палат, конечно, всей многочисленной охраны.",8,Евгений Кукаркин,Будни после праздника
8,закрытых заведений.,9,Евгений Кукаркин,Будни после праздника
9,"Вчера пили все, солдаты, офицеры,  прапоры,  врачи,  кое.",10,Евгений Кукаркин,Будни после праздника
10,что досталось и заключенным..      Ко  мне  приехал  сын.,11,Евгений Кукаркин,Будни после праздника
11,"Нет, он живет недалеко, в этом же городе.",12,Евгений Кукаркин,Будни после праздника
12,У него.,13,Евгений Кукаркин,Будни после праздника
13,семья и уже лет пять мы живем отдельно.,14,Евгений Кукаркин,Будни после праздника
14,В  этот  праздник  в  мою  одинокую.,15,Евгений Кукаркин,Будни после праздника
15,квартиру  обычно  никто  больше  не приходит.,16,Евгений Кукаркин,Будни после праздника
