,sentence,nmb_sent,author,title
0,"  сказал Тихонов,  --  это человеческая честность.",1,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
1,"Хотя бы потому, что я могу через  минуту получить пулю в живот.",2,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
2,"И если это случится, то потом его расстреляют.",3,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
3,Лиза молчала.,4,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
4,"Стас отпустил ее и повернулся к товарищам:      -- Топаем наверх, Шарапов.",5,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
5,"Открой только дверь  лифта, чтобы кто-нибудь не вызвал сверху.",6,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
6,"Когда  они уже были на площадке  второго  этажа, Лиза свистящим шепотом сказала:      -- Стойте.",7,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
7,"Стойте, Тихонов!",8,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
8,"Стас перегнулся через перила, холодно спросил:      -- Что?",9,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
9,--  У  него  пистолет есть.,10,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
10,"""Вальтер"".",11,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
11,"И он, наверное, с ним никогда не расстается.",12,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
12,Я видела его... Тихонов обернулся к Шарапову.,13,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
