,sentence,nmb_sent,author,title
0,.,1,Валерий Горбань,Первый раненый
1,.,2,Валерий Горбань,Первый раненый
2,Змей.,3,Валерий Горбань,Первый раненый
3,Как я в детстве  любил  бенгальские огни!,4,Валерий Горбань,Первый раненый
4,Веселые трескучие  искры -это.,5,Валерий Горбань,Первый раненый
5,Новый Год.,6,Валерий Горбань,Первый раненый
6,"Это  - запах  мандаринов и шоколадных  конфет, щекочущие  в носу.",7,Валерий Горбань,Первый раненый
7,"пузыри от газировки, залитой в мальчишеские животы от пупка по самые гланды.. Это -  зелено-румяные яблоки,  которые закупались,  как  обычно  на  Севере,.",8,Валерий Горбань,Первый раненый
8,целыми  ящиками и  торжественно  доставлялись домой на  санках  под  веселое.,9,Валерий Горбань,Первый раненый
9,"напутствие отца:""Любишь питаться -  люби  яблоки возить!"".",10,Валерий Горбань,Первый раненый
10,"А может быть, это.",11,Валерий Горбань,Первый раненый
11,от  тогдашних  добрых  фильмов-сказок пошло.,12,Валерий Горбань,Первый раненый
12,"""Варвара-краса длинная  коса"",.",13,Валерий Горбань,Первый раненый
13,"""Морозко"",  ""Огонь, вода  и медные трубы""... Взлетает на экране сноп золотых.",14,Валерий Горбань,Первый раненый
14,"огней, а ты с замиранием сердца ждешь, кто  же  появится из этого волшебного.",15,Валерий Горбань,Первый раненый
