,sentence,nmb_sent,author,title
0,       Вот и закончилась наша первая ночь в Грозном.,1,Валерий Горбань,Авитаминоз
1,"Закончилась без суеты, без страха.",2,Валерий Горбань,Авитаминоз
2,"И если поцокали мои  орлы зубами, то не из-за пулявшей всю ночь  по блоку ""биатлонки"", а  от  неожиданного  после вчерашней дневной жары ночного заморозка.",3,Валерий Горбань,Авитаминоз
3,"Так что, командир, через левое плечо  поплюй, но,  похоже, можешь  себя поздравить.",4,Валерий Горбань,Авитаминоз
4,Пусть  командировка  только начинается.,5,Валерий Горбань,Авитаминоз
5,Пусть  это  всего  лишь одна из предназначенных твоему отряду сорока пяти  ночей.,6,Валерий Горбань,Авитаминоз
6,Пусть война в любой момент может подкинуть любой страшный сюрприз.,7,Валерий Горбань,Авитаминоз
7,А все-таки - ты готов.,8,Валерий Горбань,Авитаминоз
8,И орлы твои готовы.,9,Валерий Горбань,Авитаминоз
9,А солнышко снова шпарит.,10,Валерий Горбань,Авитаминоз
10,"Воспоминания о ночном заморозке вместе с потом  из-под ""Сферы"" солеными ручейками утекли.",11,Валерий Горбань,Авитаминоз
