,sentence,nmb_sent,author,title
0,-.,1,Братья Вайнеры,Завещание Колумба
1,.,2,Братья Вайнеры,Завещание Колумба
2,1. .,3,Братья Вайнеры,Завещание Колумба
3,"...Мир вокруг меня был  объят  серой пеленой, и я  знал  твердо, что за.",4,Братья Вайнеры,Завещание Колумба
4,"дымно клубящимся сводом - сон, а здесь, внутри бесплотного шатра, за которым.",5,Братья Вайнеры,Завещание Колумба
5,"плыла  нереальность,  здесь  была  явь.",6,Братья Вайнеры,Завещание Колумба
6,"Был гладкоструганый  сосновый  стол,.",7,Братья Вайнеры,Завещание Колумба
7,"тонкий  чайный  стакан,  над  которым  я  постепенно  сдвигал  дрожащие   от.",8,Братья Вайнеры,Завещание Колумба
8,"напряжения ладони, - и стакан оживал, еле заметно начинал двигаться, и когда.",9,Братья Вайнеры,Завещание Колумба
9,"ток  крови с ревом зашумел во  мне, стакан  оторвался  от  стола  и  повис в. воздухе....      Стакан висел, удерживаемый  только  моей волей, и ощущение необычайного.",10,Братья Вайнеры,Завещание Колумба
10,"счастья,  чувство  огромной  внутренней   силы  затопило  меня,  я  вспомнил.",11,Братья Вайнеры,Завещание Колумба
11,"название, имя этой силе и  закричал  освобождение -  телекинез!!!",12,Братья Вайнеры,Завещание Колумба
