,sentence,nmb_sent,author,title
0,"--                                Я, прочитав над входом, в вышине,                               Такие знаки сумрачного цвета,                               Сказал: ""Учитель, смысл их страшен мне"".",1,Чингиз Абдуллаев,Пройти чистилище
1,"Он, прозорливый, отвечал на это:                               ""Здесь нужно, чтобы душа была тверда;                               Здесь страх не должен подавать совета"".",2,Чингиз Абдуллаев,Пройти чистилище
2,"Данте Алигьери, ""Божественная комедия"".",3,Чингиз Абдуллаев,Пройти чистилище
3,ВМЕСТО ВСТУПЛЕНИЯ     Он запомнил эту встречу на всю  жизнь.,4,Чингиз Абдуллаев,Пройти чистилище
4,"Его  привезли  на  подмосковную дачу, специально предназначенную для таких агентов, как он.",5,Чингиз Абдуллаев,Пройти чистилище
5,Именно  отсюда он должен был уезжать в аэропорт.,6,Чингиз Абдуллаев,Пройти чистилище
6,"Все было обговорено,  все  было  решено.",7,Чингиз Абдуллаев,Пройти чистилище
7,Оставалась  эта   последняя   встреча.,8,Чингиз Абдуллаев,Пройти чистилище
8,После   которой   он   перестанет существовать.,9,Чингиз Абдуллаев,Пройти чистилище
9,"Вернее, перестанет существовать человек под его именем  и  с его биографией.",10,Чингиз Абдуллаев,Пройти чистилище
