,sentence,nmb_sent,author,title
0,.,1,"Ольга Лаврова, Александр Лавров",Шантаж
1,.,2,"Ольга Лаврова, Александр Лавров",Шантаж
2,"Во  вторник Знаменский пришел на  работу  хмурый, сердитый на себя,  на.",3,"Ольга Лаврова, Александр Лавров",Шантаж
3,"работу, на человеческую природу.",4,"Ольга Лаврова, Александр Лавров",Шантаж
4,"Пожалуй, даже на природу вообще: конечно, в. Москве  золотой осенью не больно  насла-дишься,  но  все-таки неделю-полторы.",5,"Ольга Лаврова, Александр Лавров",Шантаж
5,"деревья  украшают город, каждый кустик старается из  последних сил.",6,"Ольга Лаврова, Александр Лавров",Шантаж
6,А тут по.,7,"Ольга Лаврова, Александр Лавров",Шантаж
7,"живому еще,  по  зеленому уда-рило  морозом,  листья  почернели, скрючились,.",8,"Ольга Лаврова, Александр Лавров",Шантаж
8,глаза  бы не смотрели.,9,"Ольга Лаврова, Александр Лавров",Шантаж
9,"Пал Палыч  отвернулся  от  окна, от-крывавшего вид на.",10,"Ольга Лаврова, Александр Лавров",Шантаж
10,"краешек сада ""Эр-митаж"" с погубленной листвой..      Петровка, 38,  пятый  этаж, кор-пус  ""Б"".",11,"Ольга Лаврова, Александр Лавров",Шантаж
11,"Хорошо, на  пятом только  два.",12,"Ольга Лаврова, Александр Лавров",Шантаж
12,"кабинета  следователей,  целиком же отдел  занимает  второй  этаж.",13,"Ольга Лаврова, Александр Лавров",Шантаж
13,По-этому.,14,"Ольга Лаврова, Александр Лавров",Шантаж
14,"удалось пройти к  себе,  ни с  кем почти не общаясь, не утруждая лица бодрой.",15,"Ольга Лаврова, Александр Лавров",Шантаж
