,sentence,nmb_sent,author,title
0,.,1,Борис Майнаев,Над пропастью любви
1,.,2,Борис Майнаев,Над пропастью любви
2,"Она ушла три дня назад..      Все это время он слышал, как медленно, с противным скрежетом, ползет по.",3,Борис Майнаев,Над пропастью любви
3,пазам дверное  полотно и сухо стреляет  стальной язычок замка.,4,Борис Майнаев,Над пропастью любви
4,"Ему хотелось,.",5,Борис Майнаев,Над пропастью любви
5,"чтобы это был щелчок револьверного выстрела, но этого счастья судьба  ему не.",6,Борис Майнаев,Над пропастью любви
6,"дала..      Опустив  голову, он  медленно ходил по комнатам, но стоило ему  поднять.",7,Борис Майнаев,Над пропастью любви
7,"глаза, как его взгляд натыкался на  серую дверь.",8,Борис Майнаев,Над пропастью любви
8,"Один раз, а, может быть, и. не  один, он долго  стоял у порога, размышляя,  кто, когда и где мог создать.",9,Борис Майнаев,Над пропастью любви
9,такую странную краску.,10,Борис Майнаев,Над пропастью любви
10,"Она не была стальной, она не была серебристой, она, в. обычном понятии этого слова, даже не имела цвета.",11,Борис Майнаев,Над пропастью любви
