,sentence,nmb_sent,author,title
0,.,1,"Ольга Лаврова, Александр Лавров",Побег
1,.,2,"Ольга Лаврова, Александр Лавров",Побег
2,"Однажды Знаменский  смеха ради подсчитал, сколько вре-мени он провел за.",3,"Ольга Лаврова, Александр Лавров",Побег
3,решеткой.,4,"Ольга Лаврова, Александр Лавров",Побег
4,"Вышло, что из двенадцати лет ми-лицейской работы -- года три, если.",5,"Ольга Лаврова, Александр Лавров",Побег
5,не три с половиной.,6,"Ольга Лаврова, Александр Лавров",Побег
6,"На нарах,  ко-нечно, не спал, но  отсидел-таки по разным.",7,"Ольга Лаврова, Александр Лавров",Побег
7,"тюрьмам..      Таганку, по счастью, застал уже в  последний момент.",8,"Ольга Лаврова, Александр Лавров",Побег
8,Она угнетала  даже.,9,"Ольга Лаврова, Александр Лавров",Побег
9,"снаружи:  от голых, откровенно казематных стен за версту несло аре-стантским.",10,"Ольга Лаврова, Александр Лавров",Побег
10,"духом,  безысходной тос-кой.",11,"Ольга Лаврова, Александр Лавров",Побег
11,"Внутри было, понятно, того  хуже,  особенно  к. вечеру, в резком свете прожекторов.",12,"Ольга Лаврова, Александр Лавров",Побег
12,"И все радова-лись, когда  Таганку начали.",13,"Ольга Лаврова, Александр Лавров",Побег
13,"крушить и крушили (долго -- не панельный дом сковырнуть), пока не обратили в. грязный пустырь..      Но  она осталась королевой уго-ловного фольклора (""Таганка,  все  ночи,.",14,"Ольга Лаврова, Александр Лавров",Побег
