,sentence,nmb_sent,author,title
0,.,1,"Ольга Лаврова, Александр Лавров",Полуденный вор
1,.,2,"Ольга Лаврова, Александр Лавров",Полуденный вор
2,Массивные  замысловатые  часы  --  бронзовое  литье  прошлого  века  --.,3,"Ольга Лаврова, Александр Лавров",Полуденный вор
3,показывают двенадцать.,4,"Ольга Лаврова, Александр Лавров",Полуденный вор
4,В окна бьет  солнце и освещает дорогую мебель в стиле.,5,"Ольга Лаврова, Александр Лавров",Полуденный вор
5,"""ретро"",  ковры,   сияющую  хрустальную   горку.",6,"Ольга Лаврова, Александр Лавров",Полуденный вор
6,"Вещей  слишком   много,  и. чувствуется,   что  хозяева  их  нежно  лелеют.",7,"Ольга Лаврова, Александр Лавров",Полуденный вор
7,И  тем  более  режет  глаза.,8,"Ольга Лаврова, Александр Лавров",Полуденный вор
8,"беспорядок: распахнутые дверцы шкафов,  выброшенная на  пол одежда.",9,"Ольга Лаврова, Александр Лавров",Полуденный вор
9,На столе.,10,"Ольга Лаврова, Александр Лавров",Полуденный вор
10,"раскрыт  неболь-шой чемоданчик,  возле  которого  облигации  трехпроцентного.",11,"Ольга Лаврова, Александр Лавров",Полуденный вор
11,"займа, женские украшения, золотой портсигар..      В  комнате  чужой  человек  --  вор.",12,"Ольга Лаврова, Александр Лавров",Полуденный вор
12,"Спортивного вида,  располага-ющей.",13,"Ольга Лаврова, Александр Лавров",Полуденный вор
13,"наружности, лет тридцати с небольшим.",14,"Ольга Лаврова, Александр Лавров",Полуденный вор
14,"Он  сноровисто роется в  белье; руки в. кожаных  перчатках быстро перебирают простыни  и  скатерти, нащупывают тугую.",15,"Ольга Лаврова, Александр Лавров",Полуденный вор
