,sentence,nmb_sent,author,title
0,--.,1,Юрий Дольд-Михайлик,И один в поле воин
1,.,2,Юрий Дольд-Михайлик,И один в поле воин
2,.,3,Юрий Дольд-Михайлик,И один в поле воин
3,.,4,Юрий Дольд-Михайлик,И один в поле воин
4,.,5,Юрий Дольд-Михайлик,И один в поле воин
5,* ЧАСТЬ ПЕРВАЯ * .,6,Юрий Дольд-Михайлик,И один в поле воин
6,.,7,Юрий Дольд-Михайлик,И один в поле воин
7,.,8,Юрий Дольд-Михайлик,И один в поле воин
8,НЕОЖИДАННЫЙ ГОСТЬ.,9,Юрий Дольд-Михайлик,И один в поле воин
9,.,10,Юрий Дольд-Михайлик,И один в поле воин
10,"Звонок был долгий..      В  другое  время  начальник  отдела 1-Ц,  оберст  Бертгольд,  вероятно,.",11,Юрий Дольд-Михайлик,И один в поле воин
11,вскочил  бы с  дивана  и  бросился  к телефону.,12,Юрий Дольд-Михайлик,И один в поле воин
12,Но  на этот  раз он даже  не.,13,Юрий Дольд-Михайлик,И один в поле воин
13,шевельнулся.,14,Юрий Дольд-Михайлик,И один в поле воин
14,"Бертгольд лежал,  как  и прежде, закрыв  глаза, и  можно  было.",15,Юрий Дольд-Михайлик,И один в поле воин
15,"подумать, что он спит..      Адъютант оберста гауптман Коккенмюллер уже несколько раз стучал в дверь.",16,Юрий Дольд-Михайлик,И один в поле воин
16,"кабинета; не дождавшись  разрешения  войти, он даже  чуть-чуть приоткрыл ее,.",17,Юрий Дольд-Михайлик,И один в поле воин
17,"но,  увидав оберста на  диване  с закрытыми глазами, тихонько закрыл  дверь,.",18,Юрий Дольд-Михайлик,И один в поле воин
18,"чтобы не нарушать отдых своего шефа..      Гауптман  знал,  что  его начальник прошедшей ночью  не спал.",19,Юрий Дольд-Михайлик,И один в поле воин
