,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,Ранняя печаль
1,Роман.,2,Рауль Мир-Хайдаров,Ранняя печаль
2,.,3,Рауль Мир-Хайдаров,Ранняя печаль
3,Посвящается Ирине Варламовой.,4,Рауль Мир-Хайдаров,Ранняя печаль
4,.,5,Рауль Мир-Хайдаров,Ранняя печаль
5,Так мы и пытаемся плыть.,6,Рауль Мир-Хайдаров,Ранняя печаль
6,"вперед, борясь с течением,.",7,Рауль Мир-Хайдаров,Ранняя печаль
7,а оно все сносит и сносит.,8,Рауль Мир-Хайдаров,Ранняя печаль
8,"наши суденышки обратно,.",9,Рауль Мир-Хайдаров,Ранняя печаль
9,в прошлое....      Ф.С.Фицджеральд.,10,Рауль Мир-Хайдаров,Ранняя печаль
10,.,11,Рауль Мир-Хайдаров,Ранняя печаль
11,I.,12,Рауль Мир-Хайдаров,Ранняя печаль
12,"""Лотос""  --  большой  приземистый  стеклянный  гриб,  непонятно  почему.",13,Рауль Мир-Хайдаров,Ранняя печаль
13,"названный  именем нежного цветка, --  пользовался в городе дурной славой.",14,Рауль Мир-Хайдаров,Ранняя печаль
14,Ни.,15,Рауль Мир-Хайдаров,Ранняя печаль
15,"внутри, ни снаружи --  ни  столов, ни стульев,  ни стоек.",16,Рауль Мир-Хайдаров,Ранняя печаль
16,"Более того, внутрь.",17,Рауль Мир-Хайдаров,Ранняя печаль
17,"посетителям доступа не было, там властвовала хозяйка заведения, и все вокруг.",18,Рауль Мир-Хайдаров,Ранняя печаль
18,"нее было заставлено ящиками, коробками, металлическими  ""сигарами"" с колотым.",19,Рауль Мир-Хайдаров,Ранняя печаль
19,льдом.,20,Рауль Мир-Хайдаров,Ранняя печаль
20,Общалась хозяйка  с  посетителями через  узкое  оконце с  пожелтевшим.,21,Рауль Мир-Хайдаров,Ранняя печаль
