,sentence,nmb_sent,author,title
0,"                               Самая жестокая тирания - та, которая выступает                          под сенью законности и под флагом справедливости.",1,Чингиз Абдуллаев,Тень Ирода
1,"Шарль Монтескье                              Лучше быть свиньей Ирода, чем его сыном.",2,Чингиз Абдуллаев,Тень Ирода
2,Октавиан Август Цезарь    ЧАСТЬ ПЕРВАЯ.,3,Чингиз Абдуллаев,Тень Ирода
3,"ВОЗВРАЩЕНИЕ ДРОНГО                     Когда же Иисус родился в Вифлееме Иудейском во дни царя                 Ирода, пришли в Иерусалим волхвы с востока и говорят:                    - Где родившийся Царь Иудейский?",4,Чингиз Абдуллаев,Тень Ирода
4,Ибо мы  видели  звезду                 Его на востоке и пришли поклониться Ему.,5,Чингиз Абдуллаев,Тень Ирода
5,"Услышав это, Ирод царь встревожился, и весь Иерусалим с                 ним.",6,Чингиз Абдуллаев,Тень Ирода
6,"И собрав всех первосвященников  и  книжников  народных,                 спрашивал у них: где должно родиться Христу?",7,Чингиз Абдуллаев,Тень Ирода
7,"Они же сказали  ему:  в  Вифлееме  Иудейском,  ибо  так                 написано чрез пророка:                    ""И ты, Вифлеем, земля Иудина, ничем не меньше воеводств                 Иудиных; ибо из  тебя  произойдет  Вождь,  Который  упасет                 народ мой Израиля"".",8,Чингиз Абдуллаев,Тень Ирода
