,sentence,nmb_sent,author,title
0,.,1,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
1,.,2,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
2,.,3,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
3,.,4,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
4,.,5,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
5,.,6,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
6,РОМАН.,7,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
7,.,8,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
8,МОСКВА.,9,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
9,ВОЕННОЕ ИЗДАТЕЛЬСТВО.,10,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
10,1993. .,11,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
11,.,12,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
12,ББК 84Р7.,13,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
13,И20.,14,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
14,ISBN 5-203-01602-Х.,15,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
15,"(c) Н. Ф. Иванов, 1993. .",16,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
16,.,17,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
17,"Действующие лица: Брежнев,.",18,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
18,"Устинов, Андропов, Громыко,.",19,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
19,"Суслов, Огарков, Картер,.",20,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
20,"Тараки, Амин, послы, командующие,.",21,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
21,"советники, разведчики и другие..                                       Место действия: Москва - ЦК КПСС,.",22,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
22,"Генеральный штаб, МИД; Кабул,.",23,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
23,"Нью-Йорк, Ташкент, Прага..                                       Время действия: 28 апреля 1978.                                      года (день Апрельской революции в.                                      Афганистане) - 10 ноября 1982 года.",24,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
24,(день смерти Л. И. Брежнева).. .,25,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
25,Что было - то было.,26,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
26,.,27,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
27,.,28,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
28,"Всем, кого опалил Афганистан.",29,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
29,.,30,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
30,ПРЕДИСЛОВИЕ.,31,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
31,.,32,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
32,"27 декабря 1979 года,  в 18 часов 25 минут по кабульскому времени.",33,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
33,- на 4 часа 35 минут раньше первоначального срока и на 5 минут  раньше.,34,Николай Федорович Иванов,"Операцию ""шторм"" начать раньше..."
