,sentence,nmb_sent,author,title
0,.,1,Михаил Березин,"Пришла беда, откуда не ждали"
1,.,2,Михаил Березин,"Пришла беда, откуда не ждали"
2,.,3,Михаил Березин,"Пришла беда, откуда не ждали"
3,"Я сидел в своем персональном кабинете на девятом этаже здания ""Гвидона""1. и бился над отчетом о первом расследовании нашего детективного бюро.. Учитывая специфику ситуации, отчет имел форму романа.",4,Михаил Березин,"Пришла беда, откуда не ждали"
4,"Вернее, должен был.",5,Михаил Березин,"Пришла беда, откуда не ждали"
5,бы иметь.,6,Михаил Березин,"Пришла беда, откуда не ждали"
6,"Я переделывал его бессчетное количество раз, а чувство удовлетворения.",7,Михаил Березин,"Пришла беда, откуда не ждали"
7,все не наступало.. .,8,Михаил Березин,"Пришла беда, откуда не ждали"
8,Оснастили меня основательно: реквизировали у руководителя нашего издательского.,9,Михаил Березин,"Пришла беда, откуда не ждали"
9,"отдела Васельцова один из компьютеров с текстовым процессором, который.",10,Михаил Березин,"Пришла беда, откуда не ждали"
10,"он до сих пор, очевидно, оплакивает, лазерный принтер фирмы ""Хьюлет-Паккард"",.",11,Михаил Березин,"Пришла беда, откуда не ждали"
11,"мелованную бумагу, а также снабдили кучей справочников и всевозможными.",12,Михаил Березин,"Пришла беда, откуда не ждали"
12,картами Берлина.,13,Михаил Березин,"Пришла беда, откуда не ждали"
13,Пиши - не хочу.,14,Михаил Березин,"Пришла беда, откуда не ждали"
14,"Думаю, не один маститый писатель бы позавидовал.. А меня подобный уровень экипировки вгонял в тоску.",15,Михаил Березин,"Пришла беда, откуда не ждали"
