,sentence,nmb_sent,author,title
0,"                                  Наша житейская ярмарка тщеславия свершается                             на  площади,  окруженной  четырьмя  зданиями -                             больницей, сумасшедшим  домом,  богадельней  и                             тюрьмой.",1,Чингиз Абдуллаев,Срок приговоренных
1,Жильбер Сесброн.,2,Чингиз Абдуллаев,Срок приговоренных
2,"""Счастье по пустякам""      Я расскажу вам эту историю так, как  она  произошла.",3,Чингиз Абдуллаев,Срок приговоренных
3,"Ни  прибавляя  ни слова, ничего не придумывая.",4,Чингиз Абдуллаев,Срок приговоренных
4,Да  это  и  ни  к  чему.,5,Чингиз Абдуллаев,Срок приговоренных
5,"Сама  по  себе  она настолько драматична, что сочинить ее можно только  в  бреду.",6,Чингиз Абдуллаев,Срок приговоренных
6,"Сейчас  мне даже кажется, что все произошедшее  настолько  невероятно,  что  некоторые детали я начинаю додумывать - если уж фантастика, то пусть ею и будет.",7,Чингиз Абдуллаев,Срок приговоренных
7,Но и это зря - в жизни вероятным оказалось самое  невероятное.,8,Чингиз Абдуллаев,Срок приговоренных
8,"Фатум  судьбы или воля провидения, а может быть, направляющая рука Господа, в которого я начал в последнее время верить, выстроили  события  именно  так,  как  они произошли.",9,Чингиз Абдуллаев,Срок приговоренных
