,sentence,nmb_sent,author,title
0,"  ВЕРСИЯ                           Трагедия в двух актах    Действующие лица:    Клавдий, король Дании.",1,Борис Акунин,Гамлет
1,"Гертруда, королева.",2,Борис Акунин,Гамлет
2,"Гамлет, наследный принц.",3,Борис Акунин,Гамлет
3,"Полоний, канцлер.",4,Борис Акунин,Гамлет
4,"Лаэрт, сын Полония.",5,Борис Акунин,Гамлет
5,"Офелия, дочь Полония.",6,Борис Акунин,Гамлет
6,"Гораций   Розенкранц   Гильденстерн   Фортинбрас, принц норвежский.",7,Борис Акунин,Гамлет
7,Норвежский офицер.,8,Борис Акунин,Гамлет
8,Лейтенант швейцарцев.,9,Борис Акунин,Гамлет
9,"Озрик, придворный.",10,Борис Акунин,Гамлет
10,"Придворные, слуги, мятежники, могильщики.",11,Борис Акунин,Гамлет
11,АКТ ПЕРВЫЙ СЦЕНА 1    Парадный зал в королевском замке Эльсинор.,12,Борис Акунин,Гамлет
12,"Неподалеку от пустого трона - первые особы королевства: наследный принц Гамлет, канцлер Полоний с сыном и дочерью, еще несколько придворных, все они стоят к зрителям спиной.",13,Борис Акунин,Гамлет
13,"Слышен приглушенный гул множества голосов - парадный зал велик, мы видим лишь его малую часть.",14,Борис Акунин,Гамлет
