,sentence,nmb_sent,author,title
0,.,1,Виктор Леденев,Улыбка
1,.,2,Виктор Леденев,Улыбка
2,Дом казался пустынным.,3,Виктор Леденев,Улыбка
3,"Впрочем, так оно  и было.",4,Виктор Леденев,Улыбка
4,Единственный обитатель.,5,Виктор Леденев,Улыбка
5,"дома  сидел  в  кресле,  его  руки  и  ноги  были  связаны, а голова  слегка.",6,Виктор Леденев,Улыбка
6,запрокинулась.,7,Виктор Леденев,Улыбка
7,"Безжизненный взгляд, многочисленные раны,  ожоги  и порезы на.",8,Виктор Леденев,Улыбка
8,"теле  ясно говорили, что  жилец этого дома вовсе не жилец уже на этом свете.. Разбросанные предметы вокруг не оставляли сомнений, что человека пытали....      На лице покойника застыла  саркастическая  улыбка,  словно  он  смеялся.",9,Виктор Леденев,Улыбка
9,"перед тем, как умереть и смерть навсегда оставила ее на его лице.... .",10,Виктор Леденев,Улыбка
10,"Стив  Кеннеди  долго объяснял  синеволосой  старушенции,  что соседский.",11,Виктор Леденев,Улыбка
11,"мальчишка Томми вовсе не арабский  террорист,  не соратник Ясира  Арафата  и. Фиделя  Кастро,  не родственник Аль Капоне, а  обыкновенный  шалун, которому.",12,Виктор Леденев,Улыбка
