,sentence,nmb_sent,author,title
0,   ПРОЛОГ      Во всем виноват Мишка.,1,Евгений Кукаркин,Во всем виноват Мишка
1,"Даже сейчас сидя под следствием, я все больше убеждаюсь,  что  во  всем виноват он.",2,Евгений Кукаркин,Во всем виноват Мишка
2,- Вам  знакома  эта  монета?,3,Евгений Кукаркин,Во всем виноват Мишка
3,- спрашивает сидящий напротив толстолицый очкарик.,4,Евгений Кукаркин,Во всем виноват Мишка
4,Это мой следователь.,5,Евгений Кукаркин,Во всем виноват Мишка
5,Я беру монету в руки и ощущаю ее парящую легкость.,6,Евгений Кукаркин,Во всем виноват Мишка
6,"Так вот она где, моя третья монета.",7,Евгений Кукаркин,Во всем виноват Мишка
7,"Мерзавец Мишка уверял меня, что его  избили,  а  все  монеты, которые я ему передал, отняли.",8,Евгений Кукаркин,Во всем виноват Мишка
8,"Он просто, две монеты отдал в органы.",9,Евгений Кукаркин,Во всем виноват Мишка
9,- Да.,10,Евгений Кукаркин,Во всем виноват Мишка
10,- Кто вам заказал их?,11,Евгений Кукаркин,Во всем виноват Мишка
11,"- Мишка, Мишка Симаков.",12,Евгений Кукаркин,Во всем виноват Мишка
12,- Симаков  утверждает  обратное.,13,Евгений Кукаркин,Во всем виноват Мишка
13,"Вы сами, для неизвестных целей сделали этот рубль.",14,Евгений Кукаркин,Во всем виноват Мишка
