,sentence,nmb_sent,author,title
0,       Не  только ты меня  об  этом спрашивал.,1,Валерий Горбань,Закон выживания
1,Я сам  себя  об этом постоянно спрашиваю.,2,Валерий Горбань,Закон выживания
2,"И с ребятами, когда собираемся, тоже об этом часто спорим.",3,Валерий Горбань,Закон выживания
3,И никто ответить не может: как же так получается?,4,Валерий Горбань,Закон выживания
4,Едут  на броне  десять бойцов.,5,Валерий Горбань,Закон выживания
5,Выстрел  - хлоп!,6,Валерий Горбань,Закон выживания
6,Девять - живых.,7,Валерий Горбань,Закон выживания
7,"Один - ""двухсотый"".",8,Валерий Горбань,Закон выживания
8,Почему он?,9,Валерий Горбань,Закон выживания
9,"Почему не тот, что слева?",10,Валерий Горбань,Закон выживания
10,"Почему не тот, что справа?",11,Валерий Горбань,Закон выживания
11,Или  фугас - ша-арах!,12,Валерий Горбань,Закон выживания
12,"Шесть  ""двухсотых"".",13,Валерий Горбань,Закон выживания
13,"Три ""трехсотых"".",14,Валерий Горбань,Закон выживания
14,А на  одном - ни царапины.,15,Валерий Горбань,Закон выживания
15,Опять же: почему он уцелел?,16,Валерий Горбань,Закон выживания
16,"Не тот, что без половины черепа лежит.",17,Валерий Горбань,Закон выживания
17,"Не тот, что без ступни ползает.",18,Валерий Горбань,Закон выживания
