,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Дальнобойщики
1,.,2,Евгений Кукаркин,Дальнобойщики
2,.,3,Евгений Кукаркин,Дальнобойщики
3,ПРОЛОГ.,4,Евгений Кукаркин,Дальнобойщики
4,.,5,Евгений Кукаркин,Дальнобойщики
5,Шквал огня обрушился на нашу заставу.,6,Евгений Кукаркин,Дальнобойщики
6,Проклятые  таджики где-то достали.,7,Евгений Кукаркин,Дальнобойщики
7,"четыре установки ""Град"" и  теперь вся площадка обрабатывается несколько  раз.",8,Евгений Кукаркин,Дальнобойщики
8,ракетами-сигарами.,9,Евгений Кукаркин,Дальнобойщики
9,Мины выпущенные из всех  щелей и впадин за рекой бороздят.,10,Евгений Кукаркин,Дальнобойщики
10,над нашими головами  небо.,11,Евгений Кукаркин,Дальнобойщики
11,"Мой лучший  друг еще со школьной  скамьи, Антошка.",12,Евгений Кукаркин,Дальнобойщики
12,приполз ко мне в щель.,13,Евгений Кукаркин,Дальнобойщики
13,"- Лешка,- орет он,- нам хана.",14,Евгений Кукаркин,Дальнобойщики
14,Вертушки нас поддержать не смогут.,15,Евгений Кукаркин,Дальнобойщики
15,Погода.,16,Евгений Кукаркин,Дальнобойщики
16,"дрянь..      Словно в подтверждение его  слов,  земля заходила под нашими  телами  и. груды песка и камней обрушились на спины..      - Капитан  убит,-  не  унимается в крике  Антошка,- замполит  тоже.",17,Евгений Кукаркин,Дальнобойщики
