,sentence,nmb_sent,author,title
0,- А когда он вам про Иконникова сказал -- до этой встречи или после?,1,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
1,-- За несколько дней до этого.,2,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
2,-- При каких обстоятельствах?,3,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
3,--  Ни  при  каких  --  на  улице.,4,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
4,"Встретились,  остановились -- какие новости?",5,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
5,"Ну, вот он и рассказал.",6,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
6,"--  А  вы не можете поточнее вспомнить, что именно?..",7,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
7,Дзасохов покачал головой:      -- Не помню.,8,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
8,Я ведь обычно в его брехню не слишком-то вслушиваюсь.,9,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
9,"-- Что он за человек, этот Содомский?",10,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
10,"-- Так, -- сделал  неопределенный жест Дзасохов.",11,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
11,-- Живет -- хлеб жует.,12,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
12,Человек как человек.,13,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
13,Распространяет театральные билеты.,14,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
14,"-- Я  заметил, что вы о нем говорили  без малейшего почтения, -- сказал я, и Дзасохов улыбнулся.",15,"Аркадий Вайнер, Георгий Вайнер",Визит к Минотавру
