,sentence,nmb_sent,author,title
0,   ЛЕС.,1,Евгений Кукаркин,Трофейщик
1,Июль 1987г.,2,Евгений Кукаркин,Трофейщик
2,"- Ну, здравствуй, Самсонов.",3,Евгений Кукаркин,Трофейщик
3,Из кустов вышел одетый в гражданское капитан Николаев.,4,Евгений Кукаркин,Трофейщик
4,В руке он держал недоеденную булку с колбасой.,5,Евгений Кукаркин,Трофейщик
5,- Давно тебя жду.,6,Евгений Кукаркин,Трофейщик
6,Никак ты сегодня с большим уловом?,7,Евгений Кукаркин,Трофейщик
7,Сзади  меня  хрустнула  ветка.,8,Евгений Кукаркин,Трофейщик
8,"На тропинке стояли два здоровых парня, с равнодушными физиономиями.",9,Евгений Кукаркин,Трофейщик
9,"- Ты не снимай рюкзак, пройдемся до машины и там разберемся.",10,Евгений Кукаркин,Трофейщик
10,"В почетном окружении, с нехорошим предчувствием, я двинулся к дороге.",11,Евгений Кукаркин,Трофейщик
11,"У черной ""Волги"" мы остановились.",12,Евгений Кукаркин,Трофейщик
12,"- Ну, что там у тебя, показывай.",13,Евгений Кукаркин,Трофейщик
13,Я снял рюкзак и раскрыл его.,14,Евгений Кукаркин,Трофейщик
14,"- Ого, - сказал капитан и вытащил за ствол  ""шмайсер"",  -  Ты  посмотри только, в каком отличном состоянии.",15,Евгений Кукаркин,Трофейщик
