,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Кристалл
1,.,2,Евгений Кукаркин,Кристалл
2,.,3,Евгений Кукаркин,Кристалл
3,"Она глядела на меня с гневом и презрением..      - Простите, но я нечаянно..      Она сходила с автобуса и я, идя за ней, нечаянно наступил на ее длинную.",4,Евгений Кукаркин,Кристалл
4,"юбку, которая удачно легла на ступеньки под мои  ноги.",5,Евгений Кукаркин,Кристалл
5,"Юбка  порвалась,  по.",6,Евгений Кукаркин,Кристалл
6,"всей длинные, вдоль левого бедра.",7,Евгений Кукаркин,Кристалл
7,"Девушка придерживала его рукой..      - Я  живу в этом доме с мамой.- продолжил я- Пойдемте, мама поможет вам.",8,Евгений Кукаркин,Кристалл
8,"зашить юбку..      - Идите вы.....      Она заколебалась, попробовала шагнуть, но разрез юбки разошелся и белая.",9,Евгений Кукаркин,Кристалл
9,комбинация мелькнула снегом на черном фоне..      - А впрочем... Ваша мама сейчас дома?.,10,Евгений Кукаркин,Кристалл
10,- Да не бойтесь.,11,Евгений Кукаркин,Кристалл
11,Там она.,12,Евгений Кукаркин,Кристалл
