,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Дыхание кризиса
1,.,2,Евгений Кукаркин,Дыхание кризиса
2,.,3,Евгений Кукаркин,Дыхание кризиса
3,Командир  полка  полковник  Кирсанов  смотрел  на  наши коробки взводов.,4,Евгений Кукаркин,Дыхание кризиса
4,презрительным взглядом.,5,Евгений Кукаркин,Дыхание кризиса
5,В ближайшее время его должны были перевести  в  штаб.,6,Евгений Кукаркин,Дыхание кризиса
6,"округа и мы уже для него ничего не представляли..      - Майор Сергеев, приступайте к распределению взводов по своим местам..      Он,  переваливаясь  на  толстых ногах, направился в свой кабинет.",7,Евгений Кукаркин,Дыхание кризиса
7,Майор.,8,Евгений Кукаркин,Дыхание кризиса
8,уникален.,9,Евгений Кукаркин,Дыхание кризиса
9,"Ведет себя перед  нами  безобразно,  но  как  начальник  штаба  по.",10,Евгений Кукаркин,Дыхание кризиса
10,профессионализму  равных себе не имеет.,11,Евгений Кукаркин,Дыхание кризиса
11,Вот и сейчас он засунул левую руку в. карман брюк и перекатывает свои яйца..      - Чего засмотрелись?,12,Евгений Кукаркин,Дыхание кризиса
12,В какой руке?.,13,Евгений Кукаркин,Дыхание кризиса
13,"- Правое, - услужливо подсказывает лейтенант Федоров,  командир  взвода.",14,Евгений Кукаркин,Дыхание кризиса
