,sentence,nmb_sent,author,title
0,    * ЧАСТЬ ПЕРВАЯ.,1,Евгений Кукаркин,Смерть всегда движется рядом
1,ЗНОЙ ПУСТЫНИ        Жара  изматывает все тело.,2,Евгений Кукаркин,Смерть всегда движется рядом
2,"Мы сидим в танке совсем раздетые, до трусов.",3,Евгений Кукаркин,Смерть всегда движется рядом
3,Бронь раскалена и притронутся к ней  практически  невозможно.,4,Евгений Кукаркин,Смерть всегда движется рядом
4,Пот  противно щиплет  глаза и обволакивает тело масляным блеском.,5,Евгений Кукаркин,Смерть всегда движется рядом
5,"Вентиляторы не помогают, горячий воздух пустыни всасывается внутрь  машины  и  тут  же  выталкивается обратно.",6,Евгений Кукаркин,Смерть всегда движется рядом
6,"- А  у  них  танки, говорят с холодильниками, - говорит мечтательно мой башнер, красный как рак от жгучего солнца здоровенный парень.",7,Евгений Кукаркин,Смерть всегда движется рядом
7,"- У них в  основном  немецкие  ""Леопарды"",  изготовлены  для  войны  на Севере.",8,Евгений Кукаркин,Смерть всегда движется рядом
8,"Они мучаются так же как и мы, - звучит снизу голос водителя.",9,Евгений Кукаркин,Смерть всегда движется рядом
9,- Не  думаю.,10,Евгений Кукаркин,Смерть всегда движется рядом
