,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
1,.,2,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
2,Повесть.,3,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
3,.,4,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
4,"Телеграмму  принесли  ему  прямо  на  работу,  хотя  адрес  указан  был.",5,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
5,домашний.,6,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
6,"Содержание ее такой срочности вовсе не требовало, да и в том, что.",7,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
7,"телеграмма читана и  перечитана,  сомневаться не приходилось:  на  почте  их.",8,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
8,райцентра -- Хлебодаровки -- работали одни женщины.,9,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
9,Акрам-абзы помнил их еще.,10,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
10,"озорными девками, и они хорошо знали Акрама, который уходил на войну  вместе.",11,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
11,"с их женихами, а вернулся один..      Телеграммы  в  поселке  уже  лет двадцать разносила  многодетная  Дарья.",12,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
12,"Сташова,  жившая во дворе почты в маленьком казенном  флигельке.",13,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
13,"Любопытная,.",14,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
14,"бойкая  на язык, она не  вручала  ни  одну  телеграмму без  комментариев, но.",15,Рауль Мир-Хайдаров,Знакомство по брачному объявлению
