,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Я - кукла
1,.,2,Евгений Кукаркин,Я - кукла
2,.,3,Евгений Кукаркин,Я - кукла
3,ПРОЛОГ.,4,Евгений Кукаркин,Я - кукла
4,.,5,Евгений Кукаркин,Я - кукла
5,.,6,Евгений Кукаркин,Я - кукла
6,Август.,7,Евгений Кукаркин,Я - кукла
7,1991г.,8,Евгений Кукаркин,Я - кукла
8,Россия.,9,Евгений Кукаркин,Я - кукла
9,г.Санкт-Петербург.. .,10,Евгений Кукаркин,Я - кукла
10,"- Ты поедешь на встречу не один, а с Лилией.",11,Евгений Кукаркин,Я - кукла
11,"- сказал мне шеф..      Лилия - новая  секретарша  шефа,  работает  третий  месяц.",12,Евгений Кукаркин,Я - кукла
12,"Крепкая,  с. соблазнительными   формами   девица,   где-   то   двадцати   шести  лет,  с. привлекательным  лицом  и  дурацкой  челкой,  наброшенной  на  глаза.",13,Евгений Кукаркин,Я - кукла
13,Самое.,14,Евгений Кукаркин,Я - кукла
14,"выразительное,  это  ее  длинные, пушистые ресницы.",15,Евгений Кукаркин,Я - кукла
15,Сейчас ее глаза прикрыты.,16,Евгений Кукаркин,Я - кукла
16,"ими, но я  знаю-  она  настороженно  смотрит  на  меня,  ожидая  реакции  на.",17,Евгений Кукаркин,Я - кукла
17,сообщение шефа..      - Зачем с ней?.,18,Евгений Кукаркин,Я - кукла
18,"- Ее задача- познакомить тебя с ними и обеспечить твое прикрытие..      - Хорошие у нее знакомые, - и я вижу, как дрогнули ресницы Лилии..      Я знаю, она здесь боится только меня.",19,Евгений Кукаркин,Я - кукла
