,sentence,nmb_sent,author,title
0,"       Повесть       ""Пиковый валет"" распоясался       На всем белом свете не было человека несчастнее Анисия Тюльпанова.",1,Борис Акунин,Пиковый валет
1,"Ну, может, только где-нибудь в черной Африке или там Патагонии, а ближе - навряд ли.",2,Борис Акунин,Пиковый валет
2,Судите сами.,3,Борис Акунин,Пиковый валет
3,"Во-первых, имечко - Анисий.",4,Борис Акунин,Пиковый валет
4,"Видели вы когда-нибудь,  чтобы благородного  человека,  камер-юнкера  или  хотя  бы  столоначальника  звали Анисием?",5,Борис Акунин,Пиковый валет
5,"Так сразу и тянет лампадным маслицем, крапивным поповским семенем.",6,Борис Акунин,Пиковый валет
6,А фамилия!,7,Борис Акунин,Пиковый валет
7,"Смех, да и только.",8,Борис Акунин,Пиковый валет
8,"Досталось злосчастное семейное  прозвание от прадеда, деревенского дьячка.",9,Борис Акунин,Пиковый валет
9,"Когда  анисиев  родоначальник  обучался  в семинарии, отец благочинный задумал менять  неблагозвучные  фамилии  будущих церковных служителей на  богоугодные.",10,Борис Акунин,Пиковый валет
10,"Для  простоты  и  удобства  один  год именовал бурсаков сплошь по церковным праздникам, другой год по  фруктам,  а на прадеда цветочный год пришелся: кто стал Гиацинтов, кто Бальзаминов,  кто Лютиков.",11,Борис Акунин,Пиковый валет
