,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,Двойник китайского императора
1,.,2,Рауль Мир-Хайдаров,Двойник китайского императора
2,.,3,Рауль Мир-Хайдаров,Двойник китайского императора
3,* ЧАСТЬ I * .,4,Рауль Мир-Хайдаров,Двойник китайского императора
4,.,5,Рауль Мир-Хайдаров,Двойник китайского императора
5,Закир-рваный.,6,Рауль Мир-Хайдаров,Двойник китайского императора
6,"Рэкет, Форштадт, Осман-турок.",7,Рауль Мир-Хайдаров,Двойник китайского императора
7,Фамильный.,8,Рауль Мир-Хайдаров,Двойник китайского императора
8,жемчуг из  Стамбула.,9,Рауль Мир-Хайдаров,Двойник китайского императора
9,Прелестная  Нора.,10,Рауль Мир-Хайдаров,Двойник китайского императора
10,Жуликоватые поводыри.,11,Рауль Мир-Хайдаров,Двойник китайского императора
11,Аукцион  в. Страсбурге.,12,Рауль Мир-Хайдаров,Двойник китайского императора
12,Джаз-оркестр.,13,Рауль Мир-Хайдаров,Двойник китайского императора
13,Марка Раушенбаха.,14,Рауль Мир-Хайдаров,Двойник китайского императора
14,"""Скорцени"" во флотском мундире.. .",15,Рауль Мир-Хайдаров,Двойник китайского императора
15,"- Слава богу,  кончилась жара!",16,Рауль Мир-Хайдаров,Двойник китайского императора
16,"Как  по волшебству, ветерок появился.",17,Рауль Мир-Хайдаров,Двойник китайского императора
17,"Я,.",18,Рауль Мир-Хайдаров,Двойник китайского императора
18,"пожалуй, сегодня тут  на айване и  спать буду, - сказал, обращаясь в темноту.",19,Рауль Мир-Хайдаров,Двойник китайского императора
19,"сада, крупный, в годах, импозантный мужчина..      - Можно подумать, жара вас  замучила,  - тихо  засмеялась  за  спиной в. темноте женщина.",20,Рауль Мир-Хайдаров,Двойник китайского императора
20,"-  В кабинете два кондиционера, дома тоже в каждой комнате,.",21,Рауль Мир-Хайдаров,Двойник китайского императора
21,"не  успеваю выключать, холод  - хоть шубу надевай.",22,Рауль Мир-Хайдаров,Двойник китайского императора
22,А теперь и в машине у вас.,23,Рауль Мир-Хайдаров,Двойник китайского императора
