,sentence,nmb_sent,author,title
0,   * ЧАСТЬ 1 *   1       По пути на  разъезд  Андрей  Ходарев  завернул  к  старику Устинову под окна.,1,Лев Кожевников,Смерть прокурора
1,Крепко ударил в облупленный ставень.,2,Лев Кожевников,Смерть прокурора
2,-- Дед?,3,Лев Кожевников,Смерть прокурора
3,Эй!,4,Лев Кожевников,Смерть прокурора
4,Не помер еще?,5,Лев Кожевников,Смерть прокурора
5,"В  окно  высунулась широченная, сивая борода, -- будто кто подал из избы добрый навильник с сеном.",6,Лев Кожевников,Смерть прокурора
6,"-- А-а... Андрюха, -- Устинов широко  зевнул,  перекрестил рот.",7,Лев Кожевников,Смерть прокурора
7,"-- Ходи в избу, что ли?",8,Лев Кожевников,Смерть прокурора
8,"-- Некогда, дед.",9,Лев Кожевников,Смерть прокурора
9,"В другой раз.      Ходарев  перевесил  с  занемевшего  плеча рюкзак, Звякнуло железо.",10,Лев Кожевников,Смерть прокурора
10,-- Чего нагрузил в мешок-то?,11,Лев Кожевников,Смерть прокурора
11,"-- Замки,  пять  штук,  --  соврал  Андрей,  хотя  старику Устинову можно было не врать.",12,Лев Кожевников,Смерть прокурора
12,"Дед помолчал, обдумывая, и не согласился.",13,Лев Кожевников,Смерть прокурора
13,--  Кабы  хужей не было.,14,Лев Кожевников,Смерть прокурора
