,sentence,nmb_sent,author,title
0,.,1,Виктор Леденев,Убийство по расписанию
1,.,2,Виктор Леденев,Убийство по расписанию
2,Уильям  Рухман любил читать  крутые  детективы.,3,Виктор Леденев,Убийство по расписанию
3,Особенно ему  нравились.,4,Виктор Леденев,Убийство по расписанию
4,"похождения Майка Хаммера, который в одиночку  расправлялся с целыми бандами,.",5,Виктор Леденев,Убийство по расписанию
5,без  промаха  поражал немыслимые цели  и  выходил  сухим  из  воды  в  самых.,6,Виктор Леденев,Убийство по расписанию
6,безнадежных ситуациях.,7,Виктор Леденев,Убийство по расписанию
7,"Билл  тоже был частным детективом, однако  ни разу не.",8,Виктор Леденев,Убийство по расписанию
8,испытал подобных приключений - сфера его интересов была совершенно иной.. .,9,Виктор Леденев,Убийство по расписанию
9,Билл отложил книгу и взглянул на Джоан.,10,Виктор Леденев,Убийство по расписанию
10,"Его секретарь не  уступала ни в. чем литературной подружке Майка Хаммера, однако стоило  один раз взглянуть в. ее  серые  глаза, как вы тут же  ощущали, что  имеете дело не с  женщиной, а. сверхновой  моделью  мощного компьютера, который  по ошибке  или  с холодным.",11,Виктор Леденев,Убийство по расписанию
