,sentence,nmb_sent,author,title
0,.,1,Бетси Блейд,Ловушка для солнца
1,.,2,Бетси Блейд,Ловушка для солнца
2,"Место действия, события, персонажи -.",3,Бетси Блейд,Ловушка для солнца
3,игра воображения автора.. .,4,Бетси Блейд,Ловушка для солнца
4,1. .,5,Бетси Блейд,Ловушка для солнца
5,Внезапно раздавшийся оглушительный трезвон прервал пленительное парение.,6,Бетси Блейд,Ловушка для солнца
6,в  заоблачных высях.,7,Бетси Блейд,Ловушка для солнца
7,Незримая катапульта  за тысячную долю секунды сбросила.,8,Бетси Блейд,Ловушка для солнца
8,"Эмилию с небес на землю, а проще говоря, вынудила  вскочить с постели.",9,Бетси Блейд,Ловушка для солнца
9,Хотя.,10,Бетси Блейд,Ловушка для солнца
10,"Эмилия  все еще и находилась во власти Морфея, но мозг ее уже успел получить.",11,Бетси Блейд,Ловушка для солнца
11,"вполне осознанный сигнал о том, что не  лазоревый свод вдруг, ни с того ни с. сего, специально разверзся, дабы избавиться от  инородного ... а  именно ее,.",12,Бетси Блейд,Ловушка для солнца
12,"Эмилии, собственного,  такого родного  и близкого!..",13,Бетси Блейд,Ловушка для солнца
13,"тела, нарушившего своим.",14,Бетси Блейд,Ловушка для солнца
14,нежелательным   вторжением   природную   гармонию.,15,Бетси Блейд,Ловушка для солнца
