,sentence,nmb_sent,author,title
0,-.,1,Василий Катунин,Возвращение Остапа Крымова
1,.,2,Василий Катунин,Возвращение Остапа Крымова
2,.,3,Василий Катунин,Возвращение Остапа Крымова
3,Глупость -- это хорошо скрытая форма счастья..      Остап Крымов.,4,Василий Катунин,Возвращение Остапа Крымова
4,(Полн.,5,Василий Катунин,Возвращение Остапа Крымова
5,собр.,6,Василий Катунин,Возвращение Остапа Крымова
6,соч.,7,Василий Катунин,Возвращение Остапа Крымова
7,Т.,8,Василий Катунин,Возвращение Остапа Крымова
8,"1, гл.",9,Василий Катунин,Возвращение Остапа Крымова
9,18).,10,Василий Катунин,Возвращение Остапа Крымова
10,.,11,Василий Катунин,Возвращение Остапа Крымова
11,.,12,Василий Катунин,Возвращение Остапа Крымова
12,ПРЕДИСЛОВИЕ.,13,Василий Катунин,Возвращение Остапа Крымова
13,.,14,Василий Катунин,Возвращение Остапа Крымова
14,"Будучи  маленьким  наивным  мальчиком,  я  смеялся  над  бедным  глупым.",15,Василий Катунин,Возвращение Остапа Крымова
15,"Буратино,  зарывшим  свои  монеты в  землю.",16,Василий Катунин,Возвращение Остапа Крымова
16,И только став  взрослым седеющим.,17,Василий Катунин,Возвращение Остапа Крымова
17,"мужчиной,  я  понял,  что в  Стране  Дураков  действительно  растут  золотые.",18,Василий Катунин,Возвращение Остапа Крымова
18,"деревья..      В  этой книге столько  же вымысла,  сколько и  правды, ибо сама  жизнь,.",19,Василий Катунин,Возвращение Остапа Крымова
19,"являясь невероятным выдумщиком, ежедневно стирает границы между реальностью,.",20,Василий Катунин,Возвращение Остапа Крымова
20,фантазией и бредом..      Мир  удивительно многообразен.,21,Василий Катунин,Возвращение Остапа Крымова
21,И недостаток денег  у  людей  -- это не.,22,Василий Катунин,Возвращение Остапа Крымова
