,sentence,nmb_sent,author,title
0,    * ЧАСТЬ ПЕРВАЯ.,1,Евгений Кукаркин,Любой ценой
1,СВОЕ ДРУГИМ НЕ ОТДАДИМ *         Моя  жена  сошла  с ума.,2,Евгений Кукаркин,Любой ценой
2,Совсем взбесилась без мужа.,3,Евгений Кукаркин,Любой ценой
3,"Только прикатил из Серного Ледовитого Океана, как она мне заявила.",4,Евгений Кукаркин,Любой ценой
4,"- Очень хорошо, что ты прибыл сегодня.",5,Евгений Кукаркин,Любой ценой
5,"Я тут без тебя документы  в  суд подала,  на  развод.",6,Евгений Кукаркин,Любой ценой
6,"Так что я точно подгадала, сегодня как раз и надо идти, наш судья работает в нечетные дни.",7,Евгений Кукаркин,Любой ценой
7,Я чуть не упал у входа.,8,Евгений Кукаркин,Любой ценой
8,"- Варька, ты что?",9,Евгений Кукаркин,Любой ценой
9,Белены объелась?,10,Евгений Кукаркин,Любой ценой
10,"- Ах, ты меня еще и оскорбляешь.",11,Евгений Кукаркин,Любой ценой
11,"Мало того, что я его годами  не  вижу, так  еще  и  по  его приезде, он мне сцены все время устраивает.",12,Евгений Кукаркин,Любой ценой
