,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,Оренбургский платок
1,.,2,Рауль Мир-Хайдаров,Оренбургский платок
2,.,3,Рауль Мир-Хайдаров,Оренбургский платок
3,.,4,Рауль Мир-Хайдаров,Оренбургский платок
4,.,5,Рауль Мир-Хайдаров,Оренбургский платок
5,.,6,Рауль Мир-Хайдаров,Оренбургский платок
6,Рассказ.,7,Рауль Мир-Хайдаров,Оренбургский платок
7,.,8,Рауль Мир-Хайдаров,Оренбургский платок
8,"Памяти Сании, сестры моей.",9,Рауль Мир-Хайдаров,Оренбургский платок
9,.,10,Рауль Мир-Хайдаров,Оренбургский платок
10,"""Наверное, поезд опоздал"",-- Фарид то и  дело дышал на  оконное стекло,.",11,Рауль Мир-Хайдаров,Оренбургский платок
11,"но, сколько его ни отогревай, не отогреть..      Мороз в этом  году постарался: даже  между рамами тянулся целый ледяной.",12,Рауль Мир-Хайдаров,Оренбургский платок
12,"хребет, и от окна несло холодом, как от двери.",13,Рауль Мир-Хайдаров,Оренбургский платок
13,Фарид плотнее подоткнул куски.,14,Рауль Мир-Хайдаров,Оренбургский платок
14,"старого одеяла в щелях и щербатом пороге..      ""Успело  намести"",--  подумал  он и смел снег с  земляного  пола,  а то.",15,Рауль Мир-Хайдаров,Оренбургский платок
15,"заругает мать, что не следил за дверью, выстудил землянку..      Печка едва теплилась, но  Фарид  боялся подложить кизяку: с  топливом в. этом  году  было  худо.",16,Рауль Мир-Хайдаров,Оренбургский платок
