,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
1,.,2,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
2,.,3,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
3,.,4,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
4,ТВОРЧЕСКАЯ БИОГРАФИЯ.,5,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
5,.,6,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
6,"МИР-ХАЙДАРОВ РАУЛЬ МИРСАИДОВИЧ - писатель, заслуженный деятель искусств.",7,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
7,(1999г.,8,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
8,"),  лауреат  премии  МВД СССР (1989г.",9,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
9,"), родился 17 ноября 1941 года в. поселке  Мартук,  Актюбинской   области,  в  семье  оренбургских  татар.",10,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
10,По.,11,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
11,образованию - инженер-строитель.,12,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
12,"20 лет проработал в строительстве, и работа.",13,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
13,позволила ему изъездить  страну вдоль и  поперек.,14,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
14,В  молодые  годы увлекался.,15,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
15,"боксом, имел первый спортивный разряд.",16,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
16,"В партии  никогда не состоял, большим.",17,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
17,начальником   не  был.,18,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
18,В   возрасте  тридцати  лет  на  спор  с   известным.,19,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
19,"кинорежиссером   написал  рассказ   Полустанок  Самсона,   опубликованный  в. московском альманахе Родники и записанный  на Всесоюзном радио.",20,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
20,В 1975 году.,21,Рауль Мир-Хайдаров,"Творческая биография, библиографическая справка"
