,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,Из Касабланки морем
1,.,2,Рауль Мир-Хайдаров,Из Касабланки морем
2,Он  прилетел в  Касабланку  рано  утром  на  клепаном  и  переклепанном.,3,Рауль Мир-Хайдаров,Из Касабланки морем
3,"""Боинге"" частной  авиакомпании.",4,Рауль Мир-Хайдаров,Из Касабланки морем
4,"Страна, в  которой Мансур  Атаулин  работал.",5,Рауль Мир-Хайдаров,Из Касабланки морем
5,"последние три года, своей авиакомпании пока еще не имела..      В Касабланке он бывал не раз: получал грузы в местном порту, провожал и. встречал большие  группы  специалистов,  прибывающих на стройку.",6,Рауль Мир-Хайдаров,Из Касабланки морем
6,Из этого же.,7,Рауль Мир-Хайдаров,Из Касабланки морем
7,"аэропорта не раз вылетал в Париж, а оттуда на родину, в Москву, на высокие и. зачастую неожиданные, совещания..      Похоже,  таможенники --  народ  с цепкой памятью -- уж заприметили его,.",8,Рауль Мир-Хайдаров,Из Касабланки морем
8,"поэтому в  документах  не  копались, а  сразу  проставили  штамп  и пожелали.",9,Рауль Мир-Хайдаров,Из Касабланки морем
9,счастливого пути.,10,Рауль Мир-Хайдаров,Из Касабланки морем
10,"Едва  он  выкатил хромированную  тележку  с  чемоданом  и. дорожной  сумкой из здания таможни, ему засигналили сразу несколько такси --.",11,Рауль Мир-Хайдаров,Из Касабланки морем
