,sentence,nmb_sent,author,title
0,"        Г.М.Брянцев   (1904-1960)   -   советский  писатель,   известный  автор военно-приключенческих повестей и рассказов.",1,Георгий Михайлович Брянцев,По тонкому льду
1,Книга посвящена работе советских чекистов в предвоенные и военные годы.,2,Георгий Михайлович Брянцев,По тонкому льду
2,Содержание       Часть первая      Дневник лейтенанта Трапезникова       Часть вторая      Записки майора Брагина       1.,3,Георгий Михайлович Брянцев,По тонкому льду
3,Так было      2.,4,Георгий Михайлович Брянцев,По тонкому льду
4,"Как и раньше, мы вместе      3.",5,Георгий Михайлович Брянцев,По тонкому льду
5,Наше появление в Энске      4.,6,Георгий Михайлович Брянцев,По тонкому льду
6,Первые дни      5.,7,Георгий Михайлович Брянцев,По тонкому льду
7,Меня хочет видеть Перебежчик      6.,8,Георгий Михайлович Брянцев,По тонкому льду
8,Энское подполье      7.,9,Георгий Михайлович Брянцев,По тонкому льду
9,Первые провалы      8.,10,Георгий Михайлович Брянцев,По тонкому льду
10,Человек с пятнышком      9.,11,Георгий Михайлович Брянцев,По тонкому льду
11,Наперсток и Аристократ      10.,12,Георгий Михайлович Брянцев,По тонкому льду
12,У Солдата новости      11.,13,Георгий Михайлович Брянцев,По тонкому льду
13,У Аристократа тоже новости      12.,14,Георгий Михайлович Брянцев,По тонкому льду
14,Визит к Пейперу      13.,15,Георгий Михайлович Брянцев,По тонкому льду
15,Ошибка доктора      14.,16,Георгий Михайлович Брянцев,По тонкому льду
16,Заседание горкома      15.,17,Георгий Михайлович Брянцев,По тонкому льду
17,Новогодний вечер      16.,18,Георгий Михайлович Брянцев,По тонкому льду
18,Геннадий нервничает      17.,19,Георгий Михайлович Брянцев,По тонкому льду
19,Сюрпризы      18.,20,Георгий Михайлович Брянцев,По тонкому льду
20,Доктора нет      19.,21,Георгий Михайлович Брянцев,По тонкому льду
21,Наши будни      20.,22,Георгий Михайлович Брянцев,По тонкому льду
