,sentence,nmb_sent,author,title
0,.,1,Михаил Любимов,И ад следовал за ним...
1,.,2,Михаил Любимов,И ад следовал за ним...
2,"Михаил Петрович Любимов - бывший сотрудник разведки,  работавший многие.",3,Михаил Любимов,И ад следовал за ним...
3,"годы за границей, кандидат исторических наук, автор нескольких пьес.. .",4,Михаил Любимов,И ад следовал за ним...
4,.,5,Михаил Любимов,И ад следовал за ним...
5,"Все имена, места, образы и события в этой книге являются художественным.",6,Михаил Любимов,И ад следовал за ним...
6,"вымыслом, и любое сходство с действительными ситуациями, умершими или живыми.",7,Михаил Любимов,И ад следовал за ним...
7,людьми объясняется чистой случайностью.. .,8,Михаил Любимов,И ад следовал за ним...
8,Михаил ЛЮБИМОВ.,9,Михаил Любимов,И ад следовал за ним...
9,"Двух станов  не  боец, но только гость случайный, За  правду я  бы  рад.",10,Михаил Любимов,И ад следовал за ним...
10,"поднять мой  добрый меч,  Но  спор с  обоими досель  мой жребий тайный, И  к. клятве ни один не мог меня привлечь "".",11,Михаил Любимов,И ад следовал за ним...
11,А. К. Толстой.,12,Михаил Любимов,И ад следовал за ним...
12,The soul of the spy is somehow the model of us all1.,13,Михаил Любимов,И ад следовал за ним...
