,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,Чти отца своего
1,.,2,Рауль Мир-Хайдаров,Чти отца своего
2,Резо Амашукели посвящается.,3,Рауль Мир-Хайдаров,Чти отца своего
3,.,4,Рауль Мир-Хайдаров,Чти отца своего
4,Часть I. .,5,Рауль Мир-Хайдаров,Чти отца своего
5,"""Какая  раньше  была  у  них  сирень!""",6,Рауль Мир-Хайдаров,Чти отца своего
6,"-  с сожалением  думал Исламов,.",7,Рауль Мир-Хайдаров,Чти отца своего
7,оглядывая  темнеющий  в сумерках  сад.,8,Рауль Мир-Хайдаров,Чти отца своего
8,Крепкий  высокий забор  из  отборной.,9,Рауль Мир-Хайдаров,Чти отца своего
9,"половой доски, стянутый по краям  кованой металлической полосой,  не вызывал.",10,Рауль Мир-Хайдаров,Чти отца своего
10,желания  подойти поближе.,11,Рауль Мир-Хайдаров,Чти отца своего
11,"Того и гляди раздастся грозный окрик: ""Чего надо?"".",12,Рауль Мир-Хайдаров,Чти отца своего
12,"или кинется на забор, гремя цепью, огромная собака..      А в сад заглянуть ему очень хотелось.",13,Рауль Мир-Хайдаров,Чти отца своего
13,Когда-то давно хрупкая сероглазая.,14,Рауль Мир-Хайдаров,Чти отца своего
14,"девочка, жившая здесь, сказала  с неожиданной  для ее возраста  тоской: ""Как.",15,Рауль Мир-Хайдаров,Чти отца своего
15,"рано светает  в мае""... И, виновато улыбаясь  за  понятное  только ей одной,.",16,Рауль Мир-Хайдаров,Чти отца своего
