,sentence,nmb_sent,author,title
0,"                    Из уст же Его исходит острый меч,                   чтоб им поражать народы.",1,Марианна Баконина,Школа двойников
1,Он пасет их жезлом железным;                   Он топчет точило вина ярости                   и гнева Бога Вседержителя.,2,Марианна Баконина,Школа двойников
2,"Откровение Святого Иоанна Богослова    От автора       Все или почти все  события, описанные в этой повести, вымышлены.",3,Марианна Баконина,Школа двойников
3,"Иногда упоминаются реальные  политики  или должностные  лица,  но  слова,  мысли  и поступки,  им приписанные, --  также в  большинстве случаев  вымысел  чистой воды.",4,Марианна Баконина,Школа двойников
4,За случайные совпадения автор ответственности не несет.,5,Марианна Баконина,Школа двойников
5,"Автор  приносит благодарность своим  коллегам-журналистам, работающим в ""Огоньке"", ""Комсомольской  правде"",  ""Общей газете"" и ""Известиях"",  а  также неутомимым  труженикам радио и телевидения.",6,Марианна Баконина,Школа двойников
6,"Именно  их  неустанный труд  по освещению  предвыборных кампаний последних лет, а  также не менее неустанный труд по разоблачению многих таких кампаний послужил написанию этого романа.",7,Марианна Баконина,Школа двойников
