,sentence,nmb_sent,author,title
0,.,1,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
1,.,2,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
2,Повесть.,3,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
3,.,4,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
4,"Шла вторая  половина ноября, но  настоящих заморозков еще не было.",5,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
5,Ночи.,6,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
6,"стояли темные, малозвездные, светало поздно,  и поселок просыпался засветло.. Вспыхивали в утренней сутеми то тут, то  там бледные  огни за стеклами давно.",7,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
7,не мытых  окон.,8,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
8,А то вдруг в одном или другом дворе за высокими глинобитными.,9,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
9,дувалами  взлетали  высоко  в  темноту яркие  языки  пламени --  это  первые.,10,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
10,"расторопные хозяйки разжигали тандыр,  чтобы порадовать  домочадцев горячими.",11,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
11,лепешками.,12,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
12,"Разжигали щедро,  не  скупясь,  ибо по  осени гузапаей --  сухими.",13,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
13,стеблями  хлопчатника  -- был  завален каждый двор  кишлака.,14,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
14,Радостно  было.,15,Рауль Мир-Хайдаров,Налево пойдешь - коня потеряешь
