,sentence,nmb_sent,author,title
0,.,1,Максим Милованов,Рынок тщеславия
1,.,2,Максим Милованов,Рынок тщеславия
2,.,3,Максим Милованов,Рынок тщеславия
3,.,4,Максим Милованов,Рынок тщеславия
4,"За ""Журавлем в небе"".. .",5,Максим Милованов,Рынок тщеславия
5,.,6,Максим Милованов,Рынок тщеславия
6,"- Платформа  ""вознесенская"".",7,Максим Милованов,Рынок тщеславия
7,"выход на левую сторону, - прозвучал  голос.",8,Максим Милованов,Рынок тщеславия
8,"из репродуктора в вагоне электрички..      Игорь  не любил вокзальную суету,  поэтому обычно  выходил на одной  из.",9,Максим Милованов,Рынок тщеславия
9,"двух железнодорожных станций, расположенных в городской черте.",10,Максим Милованов,Рынок тщеславия
10,Когда ехал по.,11,Максим Милованов,Рынок тщеславия
11,"делам,  то  на  ""Вознесенской"",  а  когда  искал   развлечений,  предпочитал.",12,Максим Милованов,Рынок тщеславия
12,"платформу поближе  к центру - ""Площадь  Победы"".",13,Максим Милованов,Рынок тщеславия
13,"Сегодня он спешил по делу и. потому, услышав название нужной станции, двинулся в сторону тамбура..      Вдруг  раздался сильный скрежет тормозов, поезд  дернулся,  и  какая-то.",14,Максим Милованов,Рынок тщеславия
14,могучая  сила толкнула Игоря  вперед.,15,Максим Милованов,Рынок тщеславия
15,Если бы  он не  успел  ухватиться  за.,16,Максим Милованов,Рынок тщеславия
