,sentence,nmb_sent,author,title
0,.,1,Виктор Леденев,Золото самураев
1,.,2,Виктор Леденев,Золото самураев
2,.,3,Виктор Леденев,Золото самураев
3,.,4,Виктор Леденев,Золото самураев
4,"Глава 1..      Я сидел, прислонившись к небольшому парапету и пытался кусочками гальки.",5,Виктор Леденев,Золото самураев
5,"расколотить фонарь, в виде желтого стеклянного шарика.",6,Виктор Леденев,Золото самураев
6,"Один я уже разбил, но.",7,Виктор Леденев,Золото самураев
7,"этот был  подальше и я часто мазал... Было ужасно противно, после  того, как.",8,Виктор Леденев,Золото самураев
8,меня взашей  выбросили  из  этого  поганого кабачка с  рулеткой.,9,Виктор Леденев,Золото самураев
9,"Я, конечно,.",10,Виктор Леденев,Золото самураев
10,"просадил все деньги, напился до свинского  состояния, а три маленьких японца.",11,Виктор Леденев,Золото самураев
11,"(здешние вышибалы)  в два счета  сделали  меня,  как  миленького и  оставили.",12,Виктор Леденев,Золото самураев
12,отдыхать на дорожке у черного хода.,13,Виктор Леденев,Золото самураев
13,Один из  них оказался сердобольным -- за.,14,Виктор Леденев,Золото самураев
14,"последнюю оставшуюся  у  меня  пятерку  пообещал  позвонить  моему  другу  и. сообщить, где я нахожусь..      Я  уже дважды попал в фонарь  и  это  придало мне новые  силы, когда по.",15,Виктор Леденев,Золото самураев
