,sentence,nmb_sent,author,title
0,"        Роман ""Петля"" удостоен премии Всесоюзного конкурса Союза писателей СССР и Министерства внутренних дел СССР за 1975 год на лучшую книгу о милиции.",1,Аркадий Григорьевич Адамов,Петля
1,"Трилогия  ""Инспектор  Лосев""  награждена Золотой  медалью  имени  Героя Советского Союза Н.Кузнецова за  лучшее героико-приключенческое произведение 1981 года, учрежденной СП РСФСР и ПО Уралмашзавод.",2,Аркадий Григорьевич Адамов,Петля
2,Оглавление       Глава I. Туман      Глава II.,3,Аркадий Григорьевич Адамов,Петля
3,"""Накопление тумана""      Глава III.",4,Аркадий Григорьевич Адамов,Петля
4,"Самые разные встречи, в том числе и опасные      Глава IV.",5,Аркадий Григорьевич Адамов,Петля
5,Люди из двух разных версий      Глава V. Наши необычные похороны      Глава VI.,6,Аркадий Григорьевич Адамов,Петля
6,Болевая точка души      Глава VII.,7,Аркадий Григорьевич Адамов,Петля
7,Курортная жизнь      Глава VIII.,8,Аркадий Григорьевич Адамов,Петля
8,Еще одна тень      Глава IX.,9,Аркадий Григорьевич Адамов,Петля
9,"В гостях у тени      Глава X. В тот страшный вечер...                                     Глава I                                   ТУМАН       Я  иногда  думаю,  сколько  человеческая голова  способна вместить дел, забот,  неприятностей, неожиданностей и даже радостей?",10,Аркадий Григорьевич Адамов,Петля
