,sentence,nmb_sent,author,title
0,.,1,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
1,Все проходит.,2,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
2,И та ночь прошла.,3,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
3,"И бездна лет утекла..      До сего дня, когда проснулась во мне  ядовитая фасолька по имени Тумор.. И предстоит встреча с Магнустом..      А я уже побрился..      Трещит, разрывается  телефон.",4,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
4,Марина  шипит из коридора: - Тебя  Майка.,5,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
5,"спрашивает....      Все,  надо собираться,  надо ехать.",6,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
6,"Язык пересох,  опух,  зашершавился.. Выпить необходимо.",7,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
7,"Скорее..      Боль в  груди  тонко  звякнула и  екнула,  ухнула,  заголосила во  мне,.",8,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
8,"проснулась, выпросталась из обморочного забытья той далекой страшной ночи..      Тумор.",9,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
9,"Фасолька  лопается,  прорастает  во мне  стальными  створочками.. Магнуст против фасольки.",10,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
10,"Оба - против меня..      Натянул я  на  себя  свежую  сорочку  и как-то равнодушно  подумал, что.",11,"Аркадий Вайнер, Георгий Вайнер",Евангелие от палача
