,sentence,nmb_sent,author,title
0,.,1,"Ольга Лаврова, Александр Лавров",Любой ценой
1,.,2,"Ольга Лаврова, Александр Лавров",Любой ценой
2,"В  тюремной камере, которая служит для содержания под стра-жей до суда,.",3,"Ольга Лаврова, Александр Лавров",Любой ценой
3,"--  двухъярусные койки,  небольшой  тяжелый  стол,  четыре  тумбочки, четыре.",4,"Ольга Лаврова, Александр Лавров",Любой ценой
4,табуретки.,5,"Ольга Лаврова, Александр Лавров",Любой ценой
5,"Высоко расположенное, забранное решеткой окно.",6,"Ольга Лаврова, Александр Лавров",Любой ценой
6,И все.,7,"Ольга Лаврова, Александр Лавров",Любой ценой
7,Вынужденное.,8,"Ольга Лаврова, Александр Лавров",Любой ценой
8,"безделье,  глухота  грязноватых   стен.",9,"Ольга Лаврова, Александр Лавров",Любой ценой
9,Скучно.,10,"Ольга Лаврова, Александр Лавров",Любой ценой
10,Нервно:   судьба  еще  не.,11,"Ольга Лаврова, Александр Лавров",Любой ценой
11,окончательно  решена.,12,"Ольга Лаврова, Александр Лавров",Любой ценой
12,"Люди,  что  рядом,  с тобой временно, ты им никто, они.",13,"Ольга Лаврова, Александр Лавров",Любой ценой
13,тебе -- никто.,14,"Ольга Лаврова, Александр Лавров",Любой ценой
14,"Словом, скверно....      В камере трое.",15,"Ольга Лаврова, Александр Лавров",Любой ценой
15,"Один --  молодой коренастый  парень, другой, долговязый,.",16,"Ольга Лаврова, Александр Лавров",Любой ценой
16,-- постарше.,17,"Ольга Лаврова, Александр Лавров",Любой ценой
17,"Третий -- лет сорока, с мягко очерчен-ным лицом и живыми карими.",18,"Ольга Лаврова, Александр Лавров",Любой ценой
18,глазами.,19,"Ольга Лаврова, Александр Лавров",Любой ценой
19,"Это Тобольцев, подслед-ственный Знаменского..      Компания ""забивает  козла"".",20,"Ольга Лаврова, Александр Лавров",Любой ценой
20,"Игра идет  без  азарта,  под  харак-терный.",21,"Ольга Лаврова, Александр Лавров",Любой ценой
