,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Дельфинарий
1,.,2,Евгений Кукаркин,Дельфинарий
2,.,3,Евгений Кукаркин,Дельфинарий
3,* ЧАСТЬ ПЕРВАЯ * .,4,Евгений Кукаркин,Дельфинарий
4,.,5,Евгений Кукаркин,Дельфинарий
5,НЕ ВСЕ ОТДЫХАЮТ В КРЫМУ.,6,Евгений Кукаркин,Дельфинарий
6,.,7,Евгений Кукаркин,Дельфинарий
7,.,8,Евгений Кукаркин,Дельфинарий
8,Все  поздравляли  меня  с  успешной  защитой  диссертации.,9,Евгений Кукаркин,Дельфинарий
9,"Знакомые  и. незнакомые люди говорили комплементы, вяло жали ладонь и спешно направлялись.",10,Евгений Кукаркин,Дельфинарий
10,к выходу.,11,Евгений Кукаркин,Дельфинарий
11,"Вдруг, жесткая рука, удачно схватив ладонь, тряханула ее так,  что.",12,Евгений Кукаркин,Дельфинарий
12,у  меня чуть слезы не брызнули из глаз.,13,Евгений Кукаркин,Дельфинарий
13,Передо мной стоял крепкий незнакомец.,14,Евгений Кукаркин,Дельфинарий
14,"с жестким выражением лица,  короткой  стрижкой  и  глубокими  пронзительными.",15,Евгений Кукаркин,Дельфинарий
15,"серыми глазами..      - Вы мне понравились, молодой человек, - заскрипел жесткий голос..      - Простите, а разве моя работа не заслуживает у вас внимания?.",16,Евгений Кукаркин,Дельфинарий
16,- Чушь.,17,Евгений Кукаркин,Дельфинарий
17,Так себе работенка.,18,Евгений Кукаркин,Дельфинарий
