,word,lemma,pos,nmb_text,nmb_sent,nmb_word
165,в,в,PREP,2,6,1
166,них,они,NPRO,2,6,2
167,часто,часто,ADVB,2,6,3
168,застывал,застывать,VERB,2,6,4
169,какой-то,какой-то,ADJF,2,6,5
170,горестный,горестный,ADJF,2,6,6
171,вопрос,вопрос,NOUN,2,6,7
172,словно,словно,CONJ,2,6,8
173,жертва,жертва,NOUN,2,6,9
174,отчаянно,отчаянно,ADVB,2,6,10
175,пыталась,пытаться,VERB,2,6,11
176,понять,понять,INFN,2,6,12
177,почему,почему,ADVB,2,6,13
178,именно,именно,PRCL,2,6,14
179,с,с,PREP,2,6,15
180,ней,она,NPRO,2,6,16
181,судьба,судьба,NOUN,2,6,17
182,обошлась,обойтись,VERB,2,6,18
183,столь,столь,ADVB,2,6,19
184,несправедливо,несправедливый,ADJS,2,6,20
185,иногда,иногда,ADVB,2,7,1
186,в,в,PREP,2,7,2
187,глазах,глаз,NOUN,2,7,3
188,бывал,бывать,VERB,2,7,4
189,и,и,CONJ,2,7,5
190,ужас,ужас,NOUN,2,7,6
191,но,но,CONJ,2,7,7
192,это,это,PRCL,2,7,8
193,случалось,случаться,VERB,2,7,9
194,редко,редко,ADVB,2,7,10
195,только,только,ADVB,2,7,11
196,в,в,PREP,2,7,12
197,том,тот,ADJF,2,7,13
198,случае,случай,NOUN,2,7,14
199,если,если,CONJ,2,7,15
200,убийца,убийца,NOUN,2,7,16
201,изощрённо,изощрённый,ADJS,2,7,17
202,мучил,мучить,VERB,2,7,18
203,свою,свой,ADJF,2,7,19
204,жертву,жертва,NOUN,2,7,20
205,эпиграф,эпиграф,NOUN,3,1,1
206,всем,весь,ADJF,3,1,2
207,участникам,участник,NOUN,3,1,3
208,войны,война,NOUN,3,1,4
209,в,в,PREP,3,1,5
210,афганистане,афганистан,NOUN,3,1,6
211,обманутым,обмануть,PRTF,3,1,7
212,и,и,CONJ,3,1,8
213,забытым,забытый,ADJF,3,1,9
214,преданным,предать,PRTF,3,1,10
215,и,и,CONJ,3,1,11
216,брошенным,бросить,PRTF,3,1,12
217,посвящаю,посвящать,VERB,3,1,13
218,эту,этот,ADJF,3,1,14
219,книгу,книга,NOUN,3,1,15
220,часть,часть,NOUN,3,1,16
221,i,i,,3,1,17
222,``,``,,3,2,1
223,уйти,уйти,INFN,3,2,2
224,...,...,,3,2,3
225,'','',,3,2,4
226,эпиграф,эпиграф,NOUN,3,2,5
227,``,``,,3,2,6
228,чтобы,чтобы,CONJ,3,2,7
229,постичь,постичь,INFN,3,2,8
230,окружающий,окружающий,ADJF,3,2,9
231,нас,мы,NPRO,3,2,10
232,мир,мир,NOUN,3,2,11
233,нужно,нужно,PRED,3,2,12
234,знать,знать,INFN,3,2,13
235,его,он,NPRO,3,2,14
236,во,в,PREP,3,2,15
237,всех,весь,ADJF,3,2,16
238,подробностях,подробность,NOUN,3,2,17
239,а,а,CONJ,3,2,18
240,так,так,CONJ,3,2,19
241,как,как,CONJ,3,2,20
242,этих,этот,ADJF,3,2,21
243,подробностей,подробность,NOUN,3,2,22
244,почти,почти,ADVB,3,2,23
245,бесчисленное,бесчисленный,ADJF,3,2,24
246,множество,множество,NOUN,3,2,25
247,то,то,CONJ,3,2,26
248,и,и,CONJ,3,2,27
249,знания,знание,NOUN,3,2,28
250,наши,наш,ADJF,3,2,29
251,всегда,всегда,ADVB,3,2,30
252,поверхностны,поверхностный,ADJS,3,2,31
253,и,и,CONJ,3,2,32
254,несовершенны,несовершенный,ADJS,3,2,33
255,'','',,3,2,34
256,ларошфуко,ларошфуко,NOUN,3,3,1
257,i,i,,3,3,2
258,они,они,NPRO,3,3,3
259,шли,идти,VERB,3,3,4
260,впятером,впятером,ADVB,3,3,5
261,уже,уже,ADVB,3,3,6
262,третий,третий,ADJF,3,3,7
263,час,час,NOUN,3,3,8
264,машков,машков,NOUN,3,3,9
265,боялся,бояться,VERB,3,3,10
266,сглазить,сглазить,INFN,3,3,11
267,не,не,PRCL,3,3,12
268,пытаясь,пытаться,GRND,3,3,13
269,смотреть,смотреть,INFN,3,3,14
270,на,на,PREP,3,3,15
271,часы,часы,NOUN,3,3,16
272,сначала,сначала,ADVB,3,4,1
273,их,они,NPRO,3,4,2
274,было,быть,VERB,3,4,3
275,семеро,семеро,NUMR,3,4,4
276,но,но,CONJ,3,5,1
277,в,в,PREP,3,5,2
278,этом,это,NPRO,3,5,3
279,лесу,лес,NOUN,3,5,4
280,двоих,двое,NUMR,3,5,5
281,они,они,NPRO,3,5,6
282,потеряли,потерять,VERB,3,5,7
283,это,это,PRCL,3,6,1
284,был,быть,VERB,3,6,2
285,неплохой,неплохой,ADJF,3,6,3
286,результат,результат,NOUN,3,6,4
287,если,если,CONJ,3,6,5
288,считать,считать,INFN,3,6,6
289,что,что,CONJ,3,6,7
290,до,до,PREP,3,6,8
291,назначенного,назначить,PRTF,3,6,9
292,места,место,NOUN,3,6,10
293,им,они,NPRO,3,6,11
