,sentence,nmb_sent,author,title
0,.,1,Евгений Кукаркин,Фрагменты тюремной жизни
1,.,2,Евгений Кукаркин,Фрагменты тюремной жизни
2,.,3,Евгений Кукаркин,Фрагменты тюремной жизни
3,ПРОЛОГ.,4,Евгений Кукаркин,Фрагменты тюремной жизни
4,.,5,Евгений Кукаркин,Фрагменты тюремной жизни
5,Эта грымза бьется надо мной уже две  недели  и  понемногу  выковыривает.,6,Евгений Кукаркин,Фрагменты тюремной жизни
6,данные..      - Так откуда у вас эти восьмидесятые микросхемы?-задает она вопрос..      - Купил..      - Где?.,7,Евгений Кукаркин,Фрагменты тюремной жизни
7,"- На рынке..      - Лож,-беапиляционно говорит она..      - Клянусь богом...-начал я..      - Можете  клясться  кем  угодно,  но  на  этих  микросхемах стоит клеймо.",8,Евгений Кукаркин,Фрагменты тюремной жизни
8,военной приемки.,9,Евгений Кукаркин,Фрагменты тюремной жизни
9,"Вот видите, маленькая, крошечная ракетка.",10,Евгений Кукаркин,Фрагменты тюремной жизни
10,"Это  значит,  что.",11,Евгений Кукаркин,Фрагменты тюремной жизни
11,"микросхемы украдены..      - Мне такие продали..      - А  вот  заключение  экспертизы,-кабудь-то  незамечая  моих оправданий,.",12,Евгений Кукаркин,Фрагменты тюремной жизни
12,"говорит  следователь,-микросхемы  из  той  партии,  что  завезли   на   ваше.",13,Евгений Кукаркин,Фрагменты тюремной жизни
13,"предприятие..      - Значит  кто-то  у  нас на предприятии стащил, продал перекупщику, а те.",14,Евгений Кукаркин,Фрагменты тюремной жизни
14,случайно мне..      - Очень сложновато.,15,Евгений Кукаркин,Фрагменты тюремной жизни
