,sentence,nmb_sent,author,title
0,   ПРОЛОГ       Февраль 1999г.,1,Евгений Кукаркин,Долгая дорога в преисподню
1,"Черт  знает,  что  твориться.",2,Евгений Кукаркин,Долгая дорога в преисподню
2,"То ли освободили, то ли нет.",3,Евгений Кукаркин,Долгая дорога в преисподню
3,"Только вчера был заключенным, а  сегодня  качу  в  шикарном  купе  в  сопровождении  двух молодчиков.",4,Евгений Кукаркин,Долгая дорога в преисподню
4,"И  все произошло так быстро, что даже попрощаться в тюрьме ни с кем не  успел,  утром  вызвали  к  начальнику,  переодели  и  швырнули  этим типчикам.",5,Евгений Кукаркин,Долгая дорога в преисподню
5,Оба   малоразговорчивы  и  следят  за  мной  день  и  ночь.,6,Евгений Кукаркин,Долгая дорога в преисподню
6,"Для профилактики прицепили наручник, приковав к кронштейну столика.",7,Евгений Кукаркин,Долгая дорога в преисподню
7,- Куда мы едем?,8,Евгений Кукаркин,Долгая дорога в преисподню
8,"Молчат, только глазами поводят.",9,Евгений Кукаркин,Долгая дорога в преисподню
9,Мне нечего делать и всматриваясь в окно я вспоминаю.,10,Евгений Кукаркин,Долгая дорога в преисподню
10,"Послесловие к тексту:      ""Секретно.",11,Евгений Кукаркин,Долгая дорога в преисподню
11,Исх.....1361/068 от...02.99г.,12,Евгений Кукаркин,Долгая дорога в преисподню
