,sentence,nmb_sent,author,title
0,"  сказал Тихонов,  --  это человеческая.",1,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
1,честность.,2,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
2,"Хотя бы потому, что я могу через  минуту получить пулю в живот.",3,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
3,"И. если это случится, то потом его расстреляют..      Лиза молчала..      Стас отпустил ее и повернулся к товарищам:.",4,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
4,"-- Топаем наверх, Шарапов.",5,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
5,"Открой только дверь  лифта, чтобы кто-нибудь.",6,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
6,"не вызвал сверху..      Когда  они уже были на площадке  второго  этажа, Лиза свистящим шепотом.",7,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
7,сказала:.,8,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
8,-- Стойте.,9,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
9,"Стойте, Тихонов!.",10,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
10,"Стас перегнулся через перила, холодно спросил:.",11,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
11,-- Что?.,12,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
12,--  У  него  пистолет есть.,13,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
13,"""Вальтер"".",14,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
14,"И он, наверное, с ним никогда не.",15,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
15,расстается.,16,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
16,"Я видела его... Тихонов обернулся к Шарапову..      -- Во-о, дела-то!",17,"Аркадий Александрович Вайнер, Георгий Александрович Вайнер",Часы для мистера Келли
