,sentence,nmb_sent,author,title
0,   ПРОЛОГ       Мы стояли по стойке смирно перед адмиралом и ели его глазами.,1,Евгений Кукаркин,Принц
1,"- Значит решили по выпендриваться, показать себя.",2,Евгений Кукаркин,Принц
2,Адмирал подскочил к моему лицу и заорал прямо в нос.,3,Евгений Кукаркин,Принц
3,- Кто разрешил?,4,Евгений Кукаркин,Принц
4,"Я знаю, это все твои штучки.",5,Евгений Кукаркин,Принц
5,Я молчу и гляжу в его бешеные глаза.,6,Евгений Кукаркин,Принц
6,"Он отошел  и  проскочив  мимо  нас туда и обратно, вдруг застопорил.",7,Евгений Кукаркин,Принц
7,"- Еще  одна  такая выходка и я вас... спишу, выгоню, уничтожу... Пижоны говняные.",8,Евгений Кукаркин,Принц
8,"Все, адмирал выдохся и спустил пары, теперь пойдет деловой разговор.",9,Евгений Кукаркин,Принц
9,"- Потери, есть?",10,Евгений Кукаркин,Принц
10,- это уже спокойный голос.,11,Евгений Кукаркин,Принц
11,- Да.,12,Евгений Кукаркин,Принц
12,Четверо убитых и четверо раненых.,13,Евгений Кукаркин,Принц
